"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","gene"
"AC105094.2",6.03253438556046e-09,0.255560617325148,0.24,0.443,0.00035110556630839,"up","AC105094.2"
"INTS6L-AS1",6.0391370206659e-09,0.225651435161546,0.25,0.481,0.000351489852876797,"up","INTS6L-AS1"
"AC079779.2",6.06480332744949e-09,0.435644115467858,0.344,0.5,0.000352983683264215,"up","AC079779.2"
"BACE1-AS",6.09285310180844e-09,1.2786894285675,0.667,0.792,0.000354616236231455,"up","BACE1-AS"
"AL583856.2",6.09911094491349e-09,0.467137835918334,0.438,0.585,0.000354980455215855,"up","AL583856.2"
"NFIA",6.10133791227255e-09,0.655481989878733,0.917,1,0.000355110069170087,"up","NFIA"
"MIR497HG",6.11037415371798e-09,0.181658356465985,0.344,0.594,0.000355635996494694,"up","MIR497HG"
"C14orf39",6.11298512239979e-09,0.902417428749538,0.667,0.83,0.000355787960093912,"up","C14orf39"
"AL021707.7",6.11572197132629e-09,0.333526358335355,0.333,0.509,0.000355947250175133,"up","AL021707.7"
"AC137932.1",6.12377308047772e-09,0.203248525628993,0.229,0.425,0.000356415840829964,"up","AC137932.1"
"AC119800.1",6.13312536786371e-09,0.194202483998833,0.26,0.453,0.000356960162660403,"up","AC119800.1"
"AC068989.1",6.26849871875848e-09,0.150557064224682,0.177,0.321,0.000364839162429181,"up","AC068989.1"
"AC099811.3",6.29852800308033e-09,0.211024776554991,0.177,0.321,0.000366586926835281,"up","AC099811.3"
"VN1R2",6.31551091593652e-09,0.131631716783105,0.125,0.311,0.000367575366329337,"up","VN1R2"
"KCTD6",6.33471893797471e-09,0.782891305973721,0.917,0.991,0.000368693311628004,"up","KCTD6"
"AL359710.1",6.3924416251761e-09,0.160711554198222,0.281,0.528,0.000372052887468499,"up","AL359710.1"
"AC008555.1",6.40398195447901e-09,0.163768663654662,0.135,0.292,0.000372724557714587,"up","AC008555.1"
"AC006483.2",6.47000024536853e-09,0.155604295536007,0.115,0.302,0.000376566954280939,"up","AC006483.2"
"AC021205.3",6.48110134424029e-09,0.236961504078471,0.344,0.472,0.000377213060437473,"up","AC021205.3"
"SHISAL1",6.49277286478074e-09,1.30123105641394,0.719,0.689,0.000377892366275969,"up","SHISAL1"
"HLA-DQA1",6.50407333210903e-09,0.148895447934457,0.167,0.302,0.00037855007607541,"up","HLA-DQA1"
"AC145423.3",6.52717095149299e-09,0.212365158980345,0.125,0.264,0.000379894403718795,"up","AC145423.3"
"AC093582.1",6.53442091926721e-09,0.185898935528968,0.146,0.292,0.00038031636634319,"up","AC093582.1"
"STAC2",6.56949343477035e-09,0.145130415056692,0.188,0.472,0.000382357656890504,"up","STAC2"
"AL139246.1",6.57117901762801e-09,0.173824820542472,0.146,0.349,0.000382455761183986,"up","AL139246.1"
"ADAM19",6.64449529239958e-09,0.326875853514493,0.344,0.462,0.00038672291500824,"up","ADAM19"
"AC245052.4",6.68511325321816e-09,0.127682205190679,0.135,0.377,0.000389086961563803,"up","AC245052.4"
"AL354892.3",6.69285238931047e-09,0.491147589169343,0.479,0.613,0.000389537394762648,"up","AL354892.3"
"AL157400.4",6.7192639609083e-09,0.189204518827878,0.229,0.481,0.000391074601052785,"up","AL157400.4"
"ARLNC1",6.78543275700898e-09,0.150550485574556,0.198,0.368,0.000394925757323437,"up","ARLNC1"
"AL360169.2",6.79281094389938e-09,0.140326883800452,0.167,0.377,0.000395355182556832,"up","AL360169.2"
"ITPKA",6.79951158412064e-09,0.190640451266962,0.25,0.481,0.000395745173218989,"up","ITPKA"
"AQP9",6.84038501502607e-09,0.293144167752986,0.25,0.377,0.000398124088644547,"up","AQP9"
"LINC00618",6.84896767200036e-09,0.14704420328401,0.188,0.387,0.000398623616445765,"up","LINC00618"
"AL513327.3",6.85549417007526e-09,0.13679390534592,0.125,0.358,0.00039900347168672,"up","AL513327.3"
"NR6A1",6.85991082156152e-09,1.50308430161789,0.708,0.821,0.000399260529636524,"up","NR6A1"
"AC073912.2",6.889951139946e-09,0.165309564344546,0.115,0.283,0.000401008936247137,"up","AC073912.2"
"U47924.1",6.91029843094897e-09,0.164154468199285,0.219,0.396,0.000402193189278092,"up","U47924.1"
"AC093583.1",6.91927211979971e-09,0.208513206506053,0.135,0.302,0.000402715475916583,"up","AC093583.1"
"AP005901.6",6.91948865308518e-09,0.156952379577234,0.115,0.387,0.000402728078586863,"up","AP005901.6"
"HTR3B",6.93674287459444e-09,0.125445191462838,0.146,0.396,0.000403732308787146,"up","HTR3B"
"C6orf223",6.96026633340151e-09,0.168390709242027,0.208,0.5,0.000405101421136635,"up","C6orf223"
"AC098679.5",7.04473654856776e-09,0.129378085960264,0.073,0.321,0.000410017756599741,"up","AC098679.5"
"AC009630.4",7.06757474521442e-09,0.13406944177374,0.167,0.443,0.00041134698532097,"up","AC009630.4"
"AL031768.1",7.07825219099527e-09,0.16268638606656,0.167,0.311,0.000411968434020307,"up","AL031768.1"
